Serial,Exchange,Symbol,Multiplier
177,NSE,HAVELLS,6.7x
178,NSE,HCLTECH,6.7x
179,NSE,HDFC,6.7x
180,NSE,HDFCAMC,6.7x
181,NSE,HDFCBANK,6.7x
182,NSE,HDFCLIFE,6.7x
183,NSE,HEG,6.5x
184,NSE,HEIDELBERG,6.7x
185,NSE,HERITGFOOD,6.7x
186,NSE,HEROMOTOCO,6.7x
187,NSE,HFCL,6.5x
188,NSE,HIMATSEIDE,5x
189,NSE,HINDALCO,6.7x
190,NSE,HINDCOPPER,6.3x
191,NSE,HINDPETRO,5.7x
192,NSE,HINDUNILVR,6.7x
193,NSE,HINDZINC,6.7x
194,NSE,HONAUT,6.7x
195,NSE,HSCL,6.7x
196,NSE,HUDCO,6.7x
197,NSE,IBREALEST,6.4x
198,NSE,IBULHSGFIN,5x
199,NSE,ICICIBANK,6.7x
200,NSE,ICICIGI,6.7x
201,NSE,ICICIPRULI,5.8x
202,NSE,ICRA,6.7x
203,NSE,IDBI,6.7x
204,NSE,IDFC,5x
205,NSE,IDFCFIRSTB,5x
206,NSE,IEX,6.7x
207,NSE,IFBIND,6.7x
208,NSE,IFCI,6.6x
209,NSE,IGL,6.7x
210,NSE,IIFL,5x
211,NSE,INDHOTEL,6.7x
212,NSE,INDIACEM,6.7x
213,NSE,INDIAMART,6.7x
214,NSE,INDIANB,6.7x
215,NSE,INDIGO,6.7x
216,NSE,INDOSTAR,6.7x
217,NSE,INDUSINDBK,5x
218,NSE,INFIBEAM,6.7x
219,NSE,INFY,6.7x
220,NSE,INOXLEISUR,6.7x
221,NSE,INTELLECT,5x
222,NSE,IOB,6.7x
223,NSE,IOC,6.7x
224,NSE,IPCALAB,6.7x
225,NSE,IRB,6.7x
226,NSE,IRCON,6.7x
227,NSE,ISEC,6.7x
228,NSE,ITC,6.7x
229,NSE,ITDC,6.7x
230,NSE,ITDCEM,6.7x
231,NSE,ITI,6.7x
232,NSE,J&KBANK,6.7x
233,NSE,JAGRAN,5.7x
234,NSE,JAICORPLTD,6.7x
235,NSE,JAMNAAUTO,6.7x
236,NSE,JBCHEPHARM,6.7x
237,NSE,JCHAC,6.7x
238,NSE,JINDALSAW,6.7x
239,NSE,JINDALSTEL,5.7x
240,NSE,JISLJALEQS,6.7x
241,NSE,JKCEMENT,6.7x
242,NSE,JKLAKSHMI,6.7x
243,NSE,JKPAPER,6.7x
244,NSE,JKTYRE,5x
245,NSE,JMFINANCIL,6.7x
246,NSE,JSL,5x
247,NSE,JSLHISAR,5.7x
248,NSE,JSWENERGY,6.7x
249,NSE,JSWSTEEL,6.7x
250,NSE,JUBLFOOD,5x
251,NSE,JUSTDIAL,6.3x
252,NSE,JYOTHYLAB,6.7x
253,NSE,KAJARIACER,5x
254,NSE,KALPATPOWR,6.7x
255,NSE,KANSAINER,6.7x
256,NSE,KARURVYSYA,6.7x
257,NSE,KEC,6.7x
258,NSE,KEI,6.7x
259,NSE,KENNAMET,6.7x
260,NSE,KIRLOSENG,6.7x
261,NSE,KNRCON,6.7x
262,NSE,KOLTEPATIL,6.7x
263,NSE,KOTAKBANK,6.7x
264,NSE,KPITTECH,5x
265,NSE,KPRMILL,5x
266,NSE,KRBL,6.7x
267,NSE,KSCL,6.7x
268,NSE,KTKBANK,6.7x
269,NSE,L&TFH,6.7x
270,NSE,LALPATHLAB,6.7x
271,NSE,LAURUSLABS,6.7x
272,NSE,LAXMIMACH,6.7x
273,NSE,LEMONTREE,6.7x
274,NSE,LICHSGFIN,6.5x
275,NSE,LINDEINDIA,6.7x
276,NSE,LT,6.7x
277,NSE,LTI,6.7x
278,NSE,LTTS,6.7x
279,NSE,LUPIN,6.7x
280,NSE,LUXIND,6.7x
281,NSE,M&M,6.6x
282,NSE,M&MFIN,6.5x
283,NSE,MAGMA,6.7x
284,NSE,MAHABANK,6.7x
285,NSE,MAHINDCIE,6.7x
286,NSE,MAHLOG,6.7x
287,NSE,MAHSCOOTER,6.7x
288,NSE,MAHSEAMLES,6.7x
289,NSE,MANAPPURAM,6.3x
290,NSE,MARICO,6.7x
291,NSE,MARUTI,6.7x
292,NSE,MASFIN,6.7x
293,NSE,MCDOWELL-N,6.7x
294,NSE,MCX,6.7x
295,NSE,METROPOLIS,6.7x
296,NSE,MFSL,6.2x
297,NSE,MGL,6.7x
298,NSE,MHRIL,6.7x
299,NSE,MIDHANI,6.7x
300,NSE,MINDACORP,6.7x
301,NSE,MINDAIND,6.7x
302,NSE,MINDTREE,6.7x
303,NSE,MMTC,6.5x
304,NSE,MOIL,6.7x
305,NSE,MOTHERSUMI,5.8x
306,NSE,MOTILALOFS,6.7x
307,NSE,MPHASIS,6.7x
308,NSE,MRF,6.7x
309,NSE,MRPL,6.7x
